Timestamp,Frame_Index,Source,Flow_Mode,FPS,Tracked_Vectors,Displacement_dX_px,Displacement_dY_px,Speed_px_f,Heading_deg,Divergence,Obstacle_Risk,Cumulative_Drift_X_px,Cumulative_Drift_Y_px
2026-07-21T11:16:48.952890,1,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,31.1,70,4.26,3.29,5.38,37.7,9.599,HIGH,4.3,3.3
2026-07-21T11:16:49.020685,2,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,26.5,53,17.98,1.35,18.03,4.3,10.553,HIGH,22.2,4.6
2026-07-21T11:16:49.054138,3,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,27.0,29,2.96,11.34,11.72,75.4,12.547,HIGH,25.2,16.0
2026-07-21T11:16:49.081030,4,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.6,28,2.39,16.09,16.26,81.6,17.579,HIGH,27.6,32.1
2026-07-21T11:16:49.116634,5,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.8,21,-4.09,11.67,12.37,109.3,12.882,HIGH,23.5,43.7
2026-07-21T11:16:49.147544,6,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,29.7,15,-2.52,9.06,9.41,105.5,6.872,HIGH,21.0,52.8
2026-07-21T11:16:49.163450,7,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,34.4,13,0.46,3.3,3.33,82.0,0.393,LOW,21.4,56.1
2026-07-21T11:16:49.214168,8,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,33.3,62,-2.06,8.23,8.48,104.0,10.743,HIGH,19.4,64.3
2026-07-21T11:16:49.230535,9,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.8,51,2.9,11.72,12.07,76.1,13.281,HIGH,22.3,76.1
2026-07-21T11:16:49.269363,10,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,31.7,36,4.0,9.29,10.12,66.7,11.879,HIGH,26.3,85.4
2026-07-21T11:16:49.299710,11,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.1,33,3.44,6.16,7.06,60.8,7.576,HIGH,29.7,91.5
2026-07-21T11:16:49.327466,12,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,33.3,28,2.76,4.55,5.32,58.7,6.701,HIGH,32.5,96.1
2026-07-21T11:16:49.361189,13,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.9,23,3.67,3.56,5.11,44.1,4.423,HIGH,36.2,99.6
2026-07-21T11:16:49.388819,14,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.8,19,4.1,2.1,4.61,27.2,2.426,MEDIUM,40.3,101.7
2026-07-21T11:16:49.417999,15,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,33.0,18,3.6,1.86,4.05,27.3,2.073,MEDIUM,43.9,103.6
2026-07-21T11:16:49.448628,16,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.9,16,1.08,1.57,1.91,55.4,0.041,LOW,44.9,105.1
2026-07-21T11:16:49.480852,17,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.5,14,2.32,1.06,2.55,24.6,-0.811,LOW,47.3,106.2
2026-07-21T11:16:49.515972,18,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,32.5,57,3.58,5.69,6.72,57.9,8.308,HIGH,50.8,111.9
2026-07-21T11:16:49.546389,19,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,31.4,46,0.63,4.75,4.8,82.5,4.805,HIGH,51.5,116.7
2026-07-21T11:16:49.587514,20,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,30.6,37,2.65,4.98,5.64,62.0,5.271,HIGH,54.1,121.6
2026-07-21T11:16:49.619065,21,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,30.0,33,4.79,4.9,6.86,45.7,4.53,HIGH,58.9,126.5
2026-07-21T11:16:49.651164,22,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,31.3,27,4.35,1.43,4.58,18.2,-0.132,LOW,63.2,128.0
2026-07-21T11:16:49.678823,23,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,39.5,25,5.73,0.32,5.74,3.2,-1.013,LOW,69.0,128.3
2026-07-21T11:16:49.699966,24,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,36.6,24,6.52,0.21,6.52,1.8,-1.039,LOW,75.5,128.5
2026-07-21T11:16:49.733246,25,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,36.0,22,6.83,-0.05,6.83,-0.4,-1.564,LOW,82.3,128.4
2026-07-21T11:16:49.764256,26,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,35.0,21,7.12,-0.09,7.12,-0.7,-1.592,LOW,89.5,128.4
2026-07-21T11:16:49.785991,27,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,36.4,19,7.17,-0.27,7.18,-2.1,-2.152,LOW,96.6,128.1
2026-07-21T11:16:49.818247,28,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,36.5,19,7.41,-0.3,7.41,-2.3,-1.845,LOW,104.0,127.8
2026-07-21T11:16:49.840641,29,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,41.6,18,7.56,-0.39,7.57,-3.0,-1.85,LOW,111.6,127.4
2026-07-21T11:16:49.868075,30,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,38.4,18,7.65,-0.45,7.66,-3.4,-1.423,LOW,119.2,127.0
2026-07-21T11:16:49.900183,31,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,37.4,18,7.84,-0.5,7.85,-3.7,-1.0,LOW,127.1,126.4
2026-07-21T11:16:49.929291,32,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,37.3,18,7.98,-0.54,7.99,-3.8,-0.545,LOW,135.1,125.9
2026-07-21T11:16:49.960420,33,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,37.8,18,8.1,-0.6,8.12,-4.2,-0.065,LOW,143.1,125.3
2026-07-21T11:16:49.986472,34,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,36.7,16,7.82,-0.77,7.86,-5.6,-0.916,LOW,151.0,124.5
2026-07-21T11:16:50.016633,35,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,35.9,15,7.99,-0.89,8.04,-6.4,-0.87,LOW,159.0,123.7
2026-07-21T11:16:50.052181,36,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,34.1,13,7.93,-1.02,8.0,-7.3,-1.558,LOW,166.9,122.6
2026-07-21T11:16:50.100772,37,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,33.3,66,7.87,0.08,7.87,0.6,1.366,MEDIUM,174.8,122.7
2026-07-21T11:16:50.149371,38,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,30.4,57,8.27,-0.3,8.27,-2.1,0.2,LOW,183.0,122.4
2026-07-21T11:16:50.185036,39,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.5,53,8.63,-0.65,8.65,-4.3,0.023,LOW,191.7,121.8
2026-07-21T11:16:50.229894,40,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,27.5,50,8.35,-0.9,8.4,-6.2,-0.13,LOW,200.0,120.9
2026-07-21T11:16:50.267922,41,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,27.1,47,8.05,-1.0,8.11,-7.1,-0.555,LOW,208.1,119.9
2026-07-21T11:16:50.300315,42,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,27.8,44,8.0,-1.17,8.08,-8.3,-0.46,LOW,216.1,118.7
2026-07-21T11:16:50.332785,43,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.6,41,7.66,-1.32,7.77,-9.7,-0.855,LOW,223.7,117.4
2026-07-21T11:16:50.365274,44,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.8,39,7.83,-1.48,7.96,-10.7,-0.8,LOW,231.5,115.9
2026-07-21T11:16:50.398793,45,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,29.2,38,7.69,-1.4,7.82,-10.3,-0.147,LOW,239.2,114.5
2026-07-21T11:16:50.433662,46,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.8,36,7.85,-1.42,7.97,-10.2,0.082,LOW,247.1,113.1
2026-07-21T11:16:50.468787,47,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,28.9,34,7.75,-1.4,7.87,-10.3,0.138,LOW,254.8,111.7
2026-07-21T11:16:50.495608,48,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,30.5,31,7.88,-1.52,8.02,-10.9,0.227,LOW,262.7,110.2
2026-07-21T11:16:50.522028,49,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,31.8,29,8.03,-1.56,8.18,-11.0,0.546,LOW,270.7,108.6
2026-07-21T11:16:50.546276,50,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,34.6,28,7.75,-1.56,7.91,-11.4,0.666,LOW,278.5,107.0
2026-07-21T11:16:50.570698,51,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,37.0,28,7.77,-1.51,7.91,-11.0,1.166,LOW,286.2,105.5
2026-07-21T11:16:50.599482,52,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,35.8,28,7.74,-1.44,7.88,-10.5,1.683,MEDIUM,294.0,104.1
2026-07-21T11:16:50.619743,53,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,37.1,27,7.51,-1.43,7.64,-10.8,1.734,MEDIUM,301.5,102.7
2026-07-21T11:16:50.649350,54,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,37.5,25,7.25,-1.26,7.36,-9.8,1.654,MEDIUM,308.7,101.4
2026-07-21T11:16:50.657464,55,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,46.5,23,6.9,-1.06,6.98,-8.7,1.413,MEDIUM,315.6,100.3
2026-07-21T11:16:50.699494,56,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,42.4,21,6.85,-1.07,6.93,-8.9,1.345,MEDIUM,322.5,99.3
2026-07-21T11:16:50.725930,57,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,41.5,20,6.6,-0.96,6.67,-8.3,1.337,MEDIUM,329.1,98.3
2026-07-21T11:16:50.753956,58,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,39.9,17,6.61,-0.88,6.67,-7.6,1.27,MEDIUM,335.7,97.4
2026-07-21T11:16:50.775642,59,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,40.3,16,6.71,-0.88,6.77,-7.5,1.517,MEDIUM,342.4,96.5
2026-07-21T11:16:50.800908,60,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,40.5,16,6.62,-0.7,6.65,-6.0,1.858,MEDIUM,349.0,95.8
2026-07-21T11:16:50.822713,61,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,55.1,15,6.75,-0.66,6.78,-5.6,2.141,MEDIUM,355.8,95.2
2026-07-21T11:16:50.845347,62,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,49.5,14,6.38,-0.42,6.4,-3.8,2.052,MEDIUM,362.2,94.8
2026-07-21T11:16:50.883089,63,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,48.2,73,4.57,0.39,4.59,4.8,4.362,HIGH,366.7,95.2
2026-07-21T11:16:50.907034,64,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,44.3,67,4.51,0.42,4.53,5.3,4.27,HIGH,371.2,95.6
2026-07-21T11:16:50.934186,65,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,42.4,60,4.53,0.74,4.59,9.2,3.639,HIGH,375.8,96.3
2026-07-21T11:16:50.964075,66,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,40.6,51,5.0,0.68,5.05,7.7,2.85,HIGH,380.8,97.0
2026-07-21T11:16:50.987885,67,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,41.9,47,5.29,0.81,5.36,8.7,2.708,HIGH,386.1,97.8
2026-07-21T11:16:51.018673,68,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,39.5,45,5.81,1.09,5.91,10.7,2.728,HIGH,391.9,98.9
2026-07-21T11:16:51.048590,69,uploads\4k_Cliff_dive_bird_POV_-_droneporn_1080p.mp4,sparse,38.4,43,5.56,1.36,5.73,13.7,2.595,HIGH,397.4,100.3
